latitude,longitude,point_name
30.501025,114.43192,Point 1
30.501025,114.43192,Point 2
30.501023333333332,114.43192166666667,Point 3
30.501025,114.43192333333333,Point 4
30.501023333333332,114.43192333333333,Point 5
30.501021666666666,114.431925,Point 6
30.50102,114.431925,Point 7
30.50102,114.431925,Point 8
30.501018333333334,114.43192666666667,Point 9
30.50102,114.43192666666667,Point 10
30.50102,114.43192666666667,Point 11
30.50102,114.43192833333333,Point 12
30.50102,114.43192833333333,Point 13
30.501021666666666,114.43192666666667,Point 14
30.50102,114.43192666666667,Point 15
30.50102,114.43192666666667,Point 16
30.50102,114.43192666666667,Point 17
30.501023333333332,114.43192666666667,Point 18
30.501023333333332,114.43192666666667,Point 19
30.501026666666668,114.431925,Point 20
30.501026666666668,114.431925,Point 21
30.501025,114.43192833333333,Point 22
30.501023333333332,114.43192833333333,Point 23
30.501016666666665,114.43193166666667,Point 24
30.501015,114.43193166666667,Point 25
30.501015,114.43193166666667,Point 26
30.501015,114.43193166666667,Point 27
30.501013333333333,114.43193166666667,Point 28
30.501013333333333,114.43193166666667,Point 29
30.501011666666667,114.43193166666667,Point 30
30.501011666666667,114.43193333333333,Point 31
30.501011666666667,114.43193333333333,Point 32
30.501011666666667,114.43193333333333,Point 33
30.50101,114.43193333333333,Point 34
30.501011666666667,114.43193333333333,Point 35
30.501015,114.43193333333333,Point 36
30.501023333333332,114.43193333333333,Point 37
30.501026666666668,114.431935,Point 38
30.501038333333334,114.431935,Point 39
30.501013333333333,114.43193666666667,Point 40
30.501015,114.43193666666667,Point 41
30.501018333333334,114.43193666666667,Point 42
30.501018333333334,114.43193666666667,Point 43
30.501021666666666,114.43193666666667,Point 44
30.501025,114.43193833333333,Point 45
30.501031666666666,114.43194,Point 46
30.501035,114.43194,Point 47
30.501038333333334,114.43193833333333,Point 48
30.501038333333334,114.43193666666667,Point 49
30.501041666666666,114.431935,Point 50
30.501041666666666,114.431935,Point 51
30.50104,114.43193333333333,Point 52
30.501038333333334,114.43193333333333,Point 53
30.501035,114.431935,Point 54
30.501033333333332,114.431935,Point 55
30.501023333333332,114.43194,Point 56
30.501021666666666,114.43194166666666,Point 57
30.50102,114.43194666666666,Point 58
30.501028333333334,114.43194333333334,Point 59
30.50103,114.43194666666666,Point 60
30.50103,114.43194666666666,Point 61
30.501031666666666,114.43194833333334,Point 62
30.501033333333332,114.43194333333334,Point 63
30.50103,114.43194333333334,Point 64
30.501028333333334,114.43193833333333,Point 65
30.501026666666668,114.431935,Point 66
30.50102,114.43193,Point 67
30.501013333333333,114.43192833333333,Point 68
30.500993333333334,114.43192666666667,Point 69
30.500976666666666,114.43193166666667,Point 70
30.500953333333335,114.43192833333333,Point 71
30.50094,114.43192833333333,Point 72
30.50093,114.431925,Point 73
30.500925,114.43192333333333,Point 74
